order,communication_type,route,medication_category,response_p1,response_p2,llm_appropriate,llm_medmatch_appropriate
0.9% sodium chloride intravenously at 100mL/hour,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"0.9% sodium chloride continuous intravenous infusion, administer at 100 mL/hour",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Sodium Chloride 0.9% 1000ml solution- administer 100 ml/hr intravenously as a continuous infusion,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
0.9% sodium chloride continuous intravenous infusion at 100 mL/h,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Epinephrine 5mg/250mL 0.9% sodium chloride- administer epinephrine at 0.1mcg/kg/min intravenously,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Epinephrine 5 mg/250 mL0.9% sodium chloride, continuous intravenous infusion at 0.1 mcg/kg/min",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Epinephrine 5mg/250 ml solution-administer 0.1 mcg/kg/min intravenously as a continuous infusion,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Dexmedetomidine continuous intravenous infusion, administer at 0.2 mcg/kg/min",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Epinephrine 5mg/250mL 0.9% sodium chloride- administer epinephrine at 0.1mcg/kg/min intravenously,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Dopamine 400mg/250mL 0.9% sodium chloride- administer dopamine as a continuous intravenous infusion at 5mcg/min,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Vasopressin 20 units/100 mL Dextrose 5% in Water, continuous intravenous infusion at 0.04 units/min",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Dopamine 400mg/250ml solution- administer 5 mcg/min intravenously as a continuous infusion,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Dopamine 400 mg in 250 mL continuous intravenous infusion, administer at 5 mcg/min",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Milrinone 40mg/200mL 5% dextrose in water administer milrinone as a continuous intravenous infusion at 0.125mcg/kg/min,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Dopamine 400 mg/250 mL, continuous intravenous infusion at 5 mcg/min",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Milrinone 40 mg/200 mL dextrose 5% in water, continuous intravenous infusion at 0.125 mcg/kg/min",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""YES""}",True,True
Milrinone 40mg/200ml in D5W solution- administer at 0.125 mcg/kg/min intravenously as a continuous infusion,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydromorphone 10mg/50mL 0.9% sodium chloride administer hydromorphone as a continuous intravenous infusion at 0.5mg/hr,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Dexmedetomidine 400mcg/100mL 0.9% sodium chloride - administer dexmedetomidine intravenously at 0.2mcg/kg/min,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Milrinone 40 mg in 200 mL D5W continuous intravenous infusion, administer at 0.125 mcg/kg/min",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""YES""}",True,True
Dexmedetomidine 400 mcg/100ml NaCl 0.9% solution- administer 0.2 mcg/kg/min intravenously as a continuous infusion,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Dextrose 5% in water administer dextrose as a continuous infusion at 200ml/hr,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Hydromorphone 10mg/50mL solution- administer 0.5 mg/hr intravenously as a continuous infusion,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
"Hydromorphone 10 mg in 50 mL continuous intravenous infusion, administer at 0.5 mg/hr",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Dexmedetomidine 1 mg/250 mL, continuous intravenous infusion at 0.2 mcg/kg/min",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
D5W solution- administer 200ml/hr intravenously as a continuous infusion,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"Dextrose 5% in water continuous intravenous solution, administer at 200 mL/hr",formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
5% Dextrose in Water continuous intravenous infusion at 200 mL/h,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydromorphone 10 mg/50 mL continuous intravenous infusion at 0.5 mg/h,formal_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Norepi 5mcg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Norepinephrine 8 mg/250ml starting at 5 mcg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Vasopressin 0.04 u/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Norepinephrine infusion at 5 mcg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Vaso 0.04u/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Fentanyl infusion 50 mcg/hr,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Fentanyl 50mcg/hr,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Midazolam 2mg/hr,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Vasopressin 0.04 units/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Vasopressin 0.04 units/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Norepinephrine 5 mcg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
100ml/hr NS,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Fentanyl 50 mcg/hr drip,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Fentanyl infusion at 50 mcg/h,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
NS 100ml/hour infusion,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Midazolam at 2 mg/hr,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Midazolam infusion at 2 mg/h,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Epi infusion at 0.1 mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
"NS, 100 mL/hr",brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Epinephrine infusion at 0.1 mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Epinephrine 0.1 mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Midazolam 2mg/hr infusion,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Propofol infusion at 5 mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Dopamine 5 mcg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Dexmedetomidine 0.2 mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Dopamine 5mcg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Dopamine drip at 5 mcg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Dexmedetomidine at 0.2 mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Dopamine infusion at 5 mcg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Precedex 0.2mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
NS at 100 mL/h,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Epinephrine 0.1mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Precedex infusions at 0.2 mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Milrinone 0.125mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydromorphone 0.5mg/hr,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
Milrinone drip at 0.125 mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Milrinone infusion at 0.125 mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydromorphone IV infusion at 0.5 mg/h,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Dilaudid infusion at 0.5 mg/hr,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
D5W 200ml/hr,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
D5 drip at 200ml/hr,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
D5W 200 mL/hr,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Hydromorphone 0.5 mg/hr,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""NO""}","{""answer"": ""NO""}",False,False
D5W at 200 mL/h,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
Milrinone 0.125 mcg/kg/min,brief_written,iv_continuous_nontitratable,Intravenous,"{""answer"": ""YES""}","{""answer"": ""NO""}",True,False
